Year,Quarter,Course,Code,Instructor,Time,Max,Enr,Place
2023,Winter,Math 271B STOCHASTIC PROCESS,45680,"SOLNA, K.",MW 9:30-10:50,20,12,DBH 1425
2023,Winter,Math 281B SET THEORY,45690,"ZEMAN, M.",TuTh 8:00- 9:20,20,3,RH 340P
2023,Winter,Math 290B METH IN APPLD MATH,45760,"LOWENGRUB, J.",MWF 1:00- 1:50p,13,12,RH 188
2023,Winter,Math 295B PARTIAL DIFF EQNS,45770,"KRUPCHYK, K.",MW 11:00-12:20p,20,5,RH 510R
2023,Spring,Math 2A CALCULUS I,44000,"HUBER, K.",WF 10:00-10:50 M 10:00-10:50,295,280,ON LINE ALP 1300
2023,Spring,Math 2A CALCULUS I,44010,"SELIM, S.",MWF 2:00- 2:50p,194,189,DBH 1100
2023,Spring,Math 2B CALCULUS II,44100,"LEHMAN, R.",MF 10:00-10:50 W 10:00-10:50,295,271,ON LINE ALP 1300
2023,Spring,Math 2B CALCULUS II,44107,"LEHMAN, R.",MWF 12:00-12:50p,179,170,PCB 1100
2023,Spring,Math 2B CALCULUS II,44115,"LEHMAN, R.",MWF 1:00- 1:50p,173,142,PCB 1100
2023,Spring,Math 2D MULTIVAR CALCULUS I,44200,"CHEONG, G.",MWF 9:00- 9:50,195,194,ALP 2300
2023,Spring,Math 2D MULTIVAR CALCULUS I,44220,"HEZARI, H.",MWF 3:00- 3:50p,195,187,ALP 2300
2023,Spring,Math 2E MULTIVAR CALC II,44260,"YOUSSEFPOUR, H.",MWF 10:00-10:50,191,174,SSPA 1100
2023,Spring,Math 2E MULTIVAR CALC II,44270,"YOUSSEFPOUR, H.",MWF 12:00-12:50p,195,184,HSLH 100A
2023,Spring,Math 3A INTRO LINEAR ALGBRA,44300,"GUO, R.",MWF 11:00-11:50,130,125,RH 104
2023,Spring,Math 3A INTRO LINEAR ALGBRA,44310,"ZHANG, Y.",MWF 8:00- 8:50,120,105,RH 104
2023,Spring,Math 3A INTRO LINEAR ALGBRA,44340,"LIEBER, J.",MWF 3:00- 3:50p,130,127,RH 104
2023,Spring,Math 3A INTRO LINEAR ALGBRA,44350,"LIEBER, J.",MWF 2:00- 2:50p,130,128,RH 104
2023,Spring,Math 3D ELEM DIFF EQUATIONS,44380,"ZHANG, H.",MWF 9:00- 9:50,123,115,RH 104
2023,Spring,Math 3D ELEM DIFF EQUATIONS,44385,"ZHANG, H.",MWF 12:00-12:50p,130,129,RH 104
